ConfigID,VectorSize,Blocks,ThreadsPerBlock,InclusiveTime_ms,KernelTime_ms
0,8,0,0,0.001769,6.8e-05
0,16,0,0,0.00064,6.3e-05
0,32,0,0,0.00098,0.000105
0,64,0,0,0.001781,0.000131
0,128,0,0,0.003497,0.000197
0,256,0,0,0.006809,0.000305
0,512,0,0,0.013576,0.001081
0,1024,0,0,0.027258,0.001023
0,2048,0,0,0.054293,0.003986
0,4096,0,0,0.110134,0.00951
0,8192,0,0,0.226333,0.02035
0,16384,0,0,0.482079,0.04347
0,32768,0,0,0.976358,0.084535
0,65536,0,0,1.80016,0.131327
0,131072,0,0,2.95052,0.22819
0,262144,0,0,5.39226,0.461909
0,524288,0,0,10.7074,0.878464
0,1048576,0,0,21.5072,1.39331
1.1,8,1,8,14.1231,13.9549
1.1,16,1,16,0.062599,0.004096
1.1,32,1,32,0.057849,0.003072
1.1,64,1,64,0.057064,0.003072
1.1,128,1,128,0.055443,0.003072
1.1,256,1,256,0.053035,0.003072
1.1,512,1,512,0.048636,0.003072
1.1,1024,1,1024,0.039103,0.003072
1.1,2048,1,1024,0.035498,0.002048
1.1,4096,1,1024,0.039315,0.003072
1.1,8192,1,1024,0.048371,0.003072
1.1,16384,1,1024,0.063359,0.003072
1.1,32768,1,1024,0.089783,0.008608
1.1,65536,1,1024,0.140715,0.010304
1.1,131072,1,1024,0.29758,0.051584
1.1,262144,1,1024,0.484187,0.00352
1.1,524288,1,1024,0.958,0.003872
1.1,1048576,1,1024,1.5851,0.03328
1.2,8,1,1024,0.042494,0.004096
1.2,16,1,1024,0.05788,0.003072
1.2,32,1,1024,0.057489,0.002048
1.2,64,1,1024,0.05676,0.003072
1.2,128,1,1024,0.054923,0.003072
1.2,256,1,1024,0.055819,0.003072
1.2,512,1,1024,0.048313,0.003072
1.2,1024,1,1024,0.036201,0.002336
1.2,2048,2,1024,0.0349,0.003328
1.2,4096,4,1024,0.038032,0.003072
1.2,8192,8,1024,0.043596,0.003072
1.2,16384,16,1024,0.053176,0.003072
1.2,32768,32,1024,0.066763,0.006912
1.2,65536,64,1024,0.099655,0.009792
1.2,131072,128,1024,0.166133,0.007456
1.2,262144,128,1024,0.519001,0.00368
1.2,524288,128,1024,0.902926,0.012608
1.2,1048576,128,1024,1.36939,0.005696
1.3,8,1,8,0.043811,0.00512
1.3,16,1,16,0.057739,0.003072
1.3,32,1,32,0.057779,0.003072
1.3,64,1,64,0.057431,0.003072
1.3,128,1,128,0.054931,0.002048
1.3,256,1,256,0.052809,0.002048
1.3,512,1,512,0.048176,0.003072
1.3,1024,1,1024,0.040615,0.003072
1.3,2048,2,1024,0.034502,0.003104
1.3,4096,4,1024,0.03741,0.003072
1.3,8192,8,1024,0.046728,0.003072
1.3,16384,16,1024,0.917238,0.003072
1.3,32768,32,1024,0.128043,0.066752
1.3,65536,64,1024,0.103625,0.009696
1.3,131072,128,1024,0.169277,0.009728
1.3,262144,256,1024,0.503062,0.005184
1.3,524288,512,1024,0.821519,0.00624
1.3,1048576,1024,1024,1.31174,0.027488
2.1,8,1,1,0.041171,0.003072
2.1,16,1,1,0.057881,0.003072
2.1,32,1,1,0.057336,0.003168
2.1,64,1,1,0.056736,0.003072
2.1,128,1,1,0.05495,0.003072
2.1,256,1,1,0.053148,0.002048
2.1,512,1,1,0.048017,0.003072
2.1,1024,1,1,0.039011,0.002048
2.1,2048,1,1,0.034561,0.003072
2.1,4096,1,1,0.037439,0.003072
2.1,8192,1,1,0.042194,0.0032
2.1,16384,1,1,0.053475,0.003072
2.1,32768,1,1,0.066664,0.006688
2.1,65536,1,1,0.098534,0.010272
2.1,131072,1,1,0.243631,0.007328
2.1,262144,1,1,0.491128,0.003392
2.1,524288,1,1,0.824996,0.017568
2.1,1048576,1,1,1.29027,0.0056
2.2,1024,1,1024,0.047764,0.00512
2.2,2048,1,2048,0.043071,0.009408
2.2,4096,1,4096,0.036839,0.003072
2.2,8192,1,8192,0.041397,0.002048
2.2,16384,1,16384,0.049939,0.001024
2.2,32768,1,32768,0.061802,0.001312
2.2,65536,1,65536,0.091883,0.00128
2.2,131072,1,131072,0.245784,0.00128
2.2,262144,1,262144,0.509919,0.001312
2.2,524288,1,524288,0.810344,0.00128
2.2,1048576,1,1048576,1.28485,0.001504
